[2023-10-17 17:51:16] [INFO   ] Generating Test Report 
[2023-10-17 17:51:17] [INFO   ] Generating test report 
[2023-10-17 17:51:17] [INFO   ] Generating test report 
[2023-10-17 17:51:17] [INFO   ] Fetching data from the data provider 'EG_login' 
[2023-10-17 17:51:19] [INFO   ] Setting up the browser... 
[2023-10-17 17:52:09] [INFO   ] Started measuring time 2023-10-17T12:22:09.771275700Z 
[2023-10-17 17:52:09] [INFO   ] Executing LM_L_LIP Test Cases 
[2023-10-17 17:52:09] [INFO   ] Executing login test cases... 
[2023-10-17 17:52:09] [INFO   ] Entering username: eg_admin 
[2023-10-17 17:52:12] [INFO   ] Entering password... 
[2023-10-17 17:52:12] [INFO   ] Clicking on login button... 
[2023-10-17 17:52:17] [INFO   ] Clicking Logout... 
[2023-10-17 17:52:19] [INFO   ] IP Login test cases executed successfully. 
[2023-10-17 17:52:19] [INFO   ] LM_L_LIP Test Cases Execution Completed 
[2023-10-17 17:52:19] [INFO   ] Time elapsed - [In milli-seconds: 9546] [In seconds:9.546] 
[2023-10-17 17:52:19] [INFO   ] Fetching data from the data provider 'prerak_login' 
[2023-10-17 17:52:20] [INFO   ] Setting up the browser... 
[2023-10-17 17:52:22] [INFO   ] Started measuring time 2023-10-17T12:22:22.210795200Z 
[2023-10-17 17:52:22] [INFO   ] Executing LM_L_LP method 
[2023-10-17 17:52:22] [INFO   ] Executing prerak login LM_L_LP test 
[2023-10-17 17:52:22] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 17:52:24] [INFO   ] Entering password... 
[2023-10-17 17:52:24] [INFO   ] Clicking on login button... 
[2023-10-17 17:52:27] [WARNING] Test LM_L_LP failed. Capturing screenshot... 
[2023-10-17 17:52:28] [INFO   ] Setting up the browser... 
[2023-10-17 17:52:30] [INFO   ] Started measuring time 2023-10-17T12:22:30.243620500Z 
[2023-10-17 17:52:30] [INFO   ] PM_PPE_PP_PrerakHome method 
[2023-10-17 17:52:30] [INFO   ] Executing common login... 
[2023-10-17 17:52:30] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 17:52:32] [INFO   ] Entering password... 
[2023-10-17 17:52:32] [INFO   ] Clicking on login button... 
[2023-10-17 17:52:33] [INFO   ] Common login executed successfully. 
[2023-10-17 17:52:33] [INFO   ] Executing PM_PPE_PP_PrerakProfileEdit test cases... 
[2023-10-17 17:52:35] [INFO   ] Clicking sidebar 
[2023-10-17 17:52:36] [INFO   ] Clicking Profile 
[2023-10-17 17:52:39] [INFO   ] Clicking editBasicDetails 
[2023-10-17 17:52:40] [INFO   ] Clicking editName 
[2023-10-17 17:52:42] [INFO   ] Clicking editContactDetails 
[2023-10-17 17:52:44] [INFO   ] Clicking editAddressDetails 
[2023-10-17 17:52:47] [INFO   ] Clicking editPersonalDetails 
[2023-10-17 17:52:48] [INFO   ] Clicking editReferenceDetails 
[2023-10-17 17:52:50] [INFO   ] Clicking editOtherDetails 
[2023-10-17 17:52:52] [INFO   ] PM_PPE_PP_PrerakProfileEdit executed successfully. 
[2023-10-17 17:52:52] [INFO   ] Test case execution completed 
[2023-10-17 17:52:52] [INFO   ] Time elapsed - [In milli-seconds: 22370] [In seconds:22.37] 
[2023-10-17 17:52:52] [INFO   ] Fetching data from the data provider 'editName' 
[2023-10-17 17:52:52] [INFO   ] Setting up the browser... 
[2023-10-17 17:52:55] [INFO   ] Started measuring time 2023-10-17T12:22:55.243026800Z 
[2023-10-17 17:52:55] [INFO   ] EditPrerakDetails_PM_PPE_PP_editName method 
[2023-10-17 17:52:55] [INFO   ] Executing common login... 
[2023-10-17 17:52:55] [INFO   ] Entering username: varunb_b_9960051486 
[2023-10-17 17:52:57] [INFO   ] Entering password... 
[2023-10-17 17:52:58] [INFO   ] Clicking on login button... 
[2023-10-17 17:52:58] [INFO   ] Common login executed successfully. 
[2023-10-17 17:52:58] [INFO   ] Executing PM_PPE_PP_editName test cases... 
[2023-10-17 17:53:00] [INFO   ] Clicking sidebar 
[2023-10-17 17:53:01] [INFO   ] Clicking Profile 
[2023-10-17 17:53:04] [INFO   ] Clicking editBasicDetails 
[2023-10-17 17:53:06] [INFO   ] Clicking editName 
[2023-10-17 17:53:07] [INFO   ] Entering First Name 
[2023-10-17 17:53:09] [INFO   ] Entering Middle Name 
[2023-10-17 17:53:11] [INFO   ] Entering Last Name 
[2023-10-17 17:53:12] [INFO   ] Selecting Year 
[2023-10-17 17:53:14] [INFO   ] Selecting Month 
[2023-10-17 17:53:15] [INFO   ] Selecting Day 
[2023-10-17 17:53:16] [INFO   ] Clicking Save 
[2023-10-17 17:53:17] [INFO   ] PM_PPE_PP_editName Test executed successfully. 
[2023-10-17 17:53:17] [INFO   ] PM_PPE_PP_editName Test case execution completed 
[2023-10-17 17:53:17] [INFO   ] Time elapsed - [In milli-seconds: 22475] [In seconds:22.475] 
